음식점명,운영시간,휴무일,주소,연락처,최종분류,분류,별점,리뷰수,시설,메뉴,월요일 영업 시작시간,월요일 영업 종료시간,월요일 라스트오더 시간,월요일 휴게 시작시간,월요일 휴게 종료시간,화요일 영업 시작시간,화요일 영업 종료시간,화요일 라스트오더 시간,화요일 휴게 시작시간,화요일 휴게 종료시간,수요일 영업 시작시간,수요일 영업 종료시간,수요일 라스트오더 시간,수요일 휴게 시작시간,수요일 휴게 종료시간,목요일 영업 시작시간,목요일 영업 종료시간,목요일 라스트오더 시간,목요일 휴게 시작시간,목요일 휴게 종료시간,금요일 영업 시작시간,금요일 영업 종료시간,금요일 라스트오더 시간,금요일 휴게 시작시간,금요일 휴게 종료시간,토요일 영업 시작시간,토요일 영업 종료시간,토요일 라스트오더 시간,토요일 휴게 시작시간,토요일 휴게 종료시간,일요일 영업 시작시간,일요일 영업 종료시간,일요일 라스트오더 시간,일요일 휴게 시작시간,일요일 휴게 종료시간,태그_예약_배달_포장,위도,경도,이미지파일명,상세페이지주소
그레인,영업시간 화~토 11:00 ~ 20:00 월 11:00 ~ 19:00,휴무일 일요일,세종특별자치시 나성로 96 181호 (우)30128,010-7298-3903 대표번호,카페,디저트카페,4.1,133,시설 정보 없음,"아메리카노: 3300
카페라떼: 3800
바닐라라떼: 4200
녹차라떼: 4500
유기농잎차: 3800",11:00,19:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,11:00,20:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,#레터링케이크 #비건베이커리 #비건카페 #비건푸드 #수제케이크 #케이크주문제작,36.4868639,127.2602904,1.그레인.jpg,https://place.map.kakao.com/2112866194
에드가,영업시간 매일 11:00 ~ 22:00 매일 휴게시간 15:00 ~ 17:00,공휴일 11:00 ~ 22:00,세종특별자치시 한누리대로 288 갤러리밸류시티 2층 (우)30128,0507-1458-1579 대표번호,양식,양식,4.2,268,주차,"불고기 쌈 피자: 17000
에드가 리조또: 14000
해산물 짬뽕 파스타: 14000
뽈뽀오일 파스타: 15000
한우 채끝살 스테이크: 38000",11:00,22:00,정보 없음,15:00,17:00,11:00,22:00,정보 없음,15:00,17:00,11:00,22:00,정보 없음,15:00,17:00,11:00,22:00,정보 없음,15:00,17:00,11:00,22:00,정보 없음,15:00,17:00,11:00,22:00,정보 없음,15:00,17:00,11:00,22:00,정보 없음,15:00,17:00,"#안심식당 #나성동맛집 #세종데이트 #세종맛집 #세종호수공원 #파스타 #가족모임 #데이트코스 #소개팅 #친목모임 #퓨전레스토랑 #회식장소
예약가능",36.4899283,127.2570906,2.에드가2.jpg,https://place.map.kakao.com/1401716267
바로쌈밥,영업시간 월~토 11:30 ~ 22:00 월~토 휴게시간 15:00 ~ 17:00,휴무일 일요일,세종특별자치시 나성로 133-15 3층 (우)30128,044-868-8525 대표번호,한식,쌈밥,4.4,16,시설 정보 없음,"차돌 쌈밥(공기밥): 16000
차돌 쌈밥(솥밥): 18000
생삼겹 쌈밥(공기밥): 15000
소불고기 쌈밥(공기밥): 16000
제육불고기 쌈밥: 11000",11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4905164,127.2576646,3.바로쌈밥.png,https://place.map.kakao.com/895282393
앤 비스트로,영업시간 매일 10:30 ~ 21:00 매일 라스트오더 ~ 19:40 매일 휴게시간 15:00 ~ 17:00,휴무일 정보 없음,세종특별자치시 나성북로 47 나릿재마을4단지 상가 1층 121~123138호 (우)30128,연락처 정보 없음,양식,이탈리안,3.4,133,주차,"2인세트구성: 48700
3인세트구성: 67600
앤 브런치: 14900
멕시칸 브런치: 16900
잠봉뵈르 샌드위치: 14900",10:30,21:00,19:40,15:00,17:00,10:30,21:00,19:40,15:00,17:00,10:30,21:00,19:40,15:00,17:00,10:30,21:00,19:40,15:00,17:00,10:30,21:00,19:40,15:00,17:00,10:30,21:00,19:40,15:00,17:00,10:30,21:00,19:40,15:00,17:00,정보 없음,36.4909165,127.2616282,4.앤 비스트로.jpg,https://place.map.kakao.com/726998064
카페스테이인터뷰 나성,영업시간 매일 10:00 ~ 22:00 매일 라스트오더 ~ 21:00,휴무일 정보 없음,세종특별자치시 나성북로 47 근린생활시설동 1층 132~134호 (우)30128,044-867-0530 대표번호,카페,카페,3.5,421,주차,"에스프레소: 3000
초코릿라떼: 5500
아메리카노: 4500
디카페인아메리카노: 5000
복숭아아이스티: 5500",10:00,22:00,21:00,정보 없음,정보 없음,10:00,22:00,21:00,정보 없음,정보 없음,10:00,22:00,21:00,정보 없음,정보 없음,10:00,22:00,21:00,정보 없음,정보 없음,10:00,22:00,21:00,정보 없음,정보 없음,10:00,22:00,21:00,정보 없음,정보 없음,10:00,22:00,21:00,정보 없음,정보 없음,"#안심식당 #디저트카페 #분위기좋은 #브런치카페 #이국적인 #카카오페이
예약가능",36.4909079,127.2611776,5.카페스테이인터뷰.jpg,https://place.map.kakao.com/692322828
세종숯불갈비,영업시간 월~금 16:00 ~ 22:00 월~금 라스트오더 ~ 21:00,휴무일 정보 없음,세종특별자치시 나성북로 21 2층 (우)30128,044-866-4588 대표번호,한식,갈비,4.1,199,주차,"제육쌈밥(점심특선): 13000
물/비빔냉면(점심특선): 11000
냉면곁들인 숯불구이(300g)(점심특선): 17000
수제양념돼지갈비 230g: 17000
수제벌집삼겹살 180g: 17000",16:00,22:00,21:00,정보 없음,정보 없음,16:00,22:00,21:00,정보 없음,정보 없음,16:00,22:00,21:00,정보 없음,정보 없음,16:00,22:00,21:00,정보 없음,정보 없음,16:00,22:00,21:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,예약가능,36.4898147,127.258937,6.세종숯불갈비.jfif,https://place.map.kakao.com/1653500132
믹스토랑 세종나성점,영업시간 매일 11:00 ~ 22:00,라스트 오더 21:00,세종특별자치시 어울누리로 67 리더스포레 상가동 1층 163~164호 (우)30128,044-415-1980 대표번호,양식,양식,4.3,418,시설 정보 없음,"T본 스테이크(900~1kg) : 95000
목살 스테이크(300g): 14900 
부채살 스테이크(230g): 22500
상하이 파스타: 11900
안심 스테이크(230g): 29500",11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,정보 없음,36.487298,127.2660758,7.믹스토랑 세종나성점.jfif,https://place.map.kakao.com/795482310
닭장수후라이드 나성점,영업시간 월~금 14:00 ~ 24:00 일 15:00 ~ 24:00,휴무일 토요일,세종특별자치시 한누리대로 211 (우)30130,044-867-4485 대표번호,치킨전문점/주점업,치킨,4.9,11,시설 정보 없음,"후라이드치킨(한마리): 11000
윙봉치킨(후라이드): 17000
순살치킨(후라이드): 17000
후라이드똥집: 11000
간장/양념똥집: 14000",14:00,0:00,정보 없음,정보 없음,정보 없음,14:00,0:00,정보 없음,정보 없음,정보 없음,14:00,0:00,정보 없음,정보 없음,정보 없음,14:00,0:00,정보 없음,정보 없음,정보 없음,14:00,0:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,15:00,0:00,정보 없음,정보 없음,정보 없음,#방문포장 #치맥,36.483493,127.259489,8.닭장수후라이드 나성점.jfif,https://place.map.kakao.com/1731878381
백록국수,영업시간 화~일 11:00 ~ 20:30 화~일 휴게시간 15:00 ~ 17:00,휴무일 월요일,세종특별자치시 나성로 96 더센트럴 1층 118호 (우)30128,0507-1465-6223 대표번호,한식,국수,0,167,시설 정보 없음,"제주 고기국수: 9000
돔베고기 (소): 16000
돔베고기 (대): 30000
제주 비빔국수: 9000
제주 보말국수: 9000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,11:00,20:30,정보 없음,15:00,17:00,#안심식당 #혼밥,36.4868639,127.2602904,9.백록국수.jfif,https://place.map.kakao.com/112129787
동백카츠나성점,영업시간 매일 11:00 ~ 21:00 월~금 휴게시간 15:00 ~ 17:00,공휴일 11:00 ~ 21:00,세종특별자치시 한누리대로 287 세종포레뷰1 1층 110호 (우)30127,044-864-1235 대표번호,일식,돈까스우동,3.4,3,주차,"치즈카츠: 14900
등심카츠: 13900
안심카츠: 14900
안심&등심 카츠: 14900
새우 로제파스타: 15900",11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,정보 없음,36.489721,127.256072,11.동백카츠나성점.png,https://place.map.kakao.com/409426049
