의료기관명,의료기관분류,세부진단,의료기관전화번호,연락처,위도,경도,진료과목내용명,운영시간,공휴일시간,의료기관주소,월요일진료시작시간,월요일진료종료시간,월요일휴게시작시간,월요일휴게종료시간,화요일진료시작시간,화요일진료종료시간,화요일휴게시작시간,화요일휴게종료시간,수요일진료시작시간,수요일진료종료시간,수요일휴게시작시간,수요일휴게종료시간,목요일진료시작시간,목요일진료종료시간,목요일휴게시작시간,목요일휴게종료시간,금요일진료시작시간,금요일진료종료시간,금요일휴게시작시간,금요일휴게종료시간,토요일진료시작시간,토요일진료종료시간,토요일휴게시작시간,토요일휴게종료시간,일요일진료시작시간,일요일진료종료시간,일요일휴게시작시간,일요일휴게종료시간
365열린연합의원,의원,가정의학과,044-864-7757,044-864-7757 대표번호,36.5052589,127.2339021,"내과, 신경과, 정형외과, 소아청소년과, 이비인후과, 피부과, 가정의학과",진료시간  월 ~ 금 09:00 ~ 20:00  토 09:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 마음로 74 그랜드프라자 302~303호 (우)30063,9:00,20:00,정보 없음,정보 없음,9:00,20:00,정보 없음,정보 없음,9:00,20:00,정보 없음,정보 없음,9:00,20:00,정보 없음,정보 없음,9:00,20:00,정보 없음,정보 없음,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
가온한의원,한의원,한의원,044-866-1998,044-866-1998 대표번호,36.5071203,127.2629914,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 09:00 ~ 19:00  토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 한누리대로 492 (우)30103,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
강남더뷰티성형외과의원,의원,성형외과,044-864-8008,044-864-8008 대표번호,36.4801079,127.2617862,"성형외과, 피부과",진료시간  월수금 10:00 ~ 18:30 (접수는 마감 30분 전까지)  화목 10:00 ~ 20:30  토 10:00 ~ 16:00,휴무일 일요일,세종특별자치시 한누리대로 169 스타벅스행복타워 3층 303호 (우)30130,10:00,18:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,10:00,18:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,10:00,18:30,정보 없음,정보 없음,10:00,16:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
강남세종치과의원,치과의원,치과,044-864-8111,044-864-8111 대표번호,36.5193283,127.2346596,"치과보철과, 치과교정과, 치주과, 치과보존과, 예방치과",진료시간  월 ~ 금 10:00 ~ 18:30  토 09:30 ~ 13:30,휴무일 정보 없음,세종특별자치시 마음로 264 (우)30062,10:00,18:30,정보 없음,정보 없음,10:00,18:30,정보 없음,정보 없음,10:00,18:30,정보 없음,정보 없음,10:00,18:30,정보 없음,정보 없음,10:00,18:30,정보 없음,정보 없음,9:30,13:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
강남치과의원,치과의원,치과,044-867-7528,044-867-7528 대표번호,36.4643689,127.2806801,통합치의학과,진료시간  월 ~ 수금 09:00 ~ 18:30  목 13:00 ~ 21:00  토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 금남면 용포로 63 2층 (우)30083,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,13:00,21:00,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
건강한가족의원,의원,가정의학과,044-858-7555,044-858-7555 대표번호,36.5134258,127.2587981,"내과, 소아청소년과, 이비인후과, 피부과, 가정의학과",진료시간  화 ~ 금 09:00 ~ 18:30  월 09:00 ~ 19:30  토 09:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 보듬3로 8-12 라온프라이빗시티1상가 1층 101-2102호 (우)30098,9:00,19:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
경희바른몸한의원,한의원,한의원,044-868-1015,044-868-1015 대표번호,36.4844944,127.2991099,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 10:00 ~ 20:00  토 10:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 2022 아크레타 아이콤스타타워 5층 504505호 (우)30151,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
경희부부한의원,한의원,한의원,044-905-2200,044-905-2200 대표번호,36.5071203,127.2629914,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월수목 09:30 ~ 19:00  화금 09:30 ~ 20:00  토 09:30 ~ 14:30,휴무일 정보 없음,세종특별자치시 절재로 194 (우)30103,9:30,19:00,정보 없음,정보 없음,9:30,20:00,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,20:00,정보 없음,정보 없음,9:30,14:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
경희으뜸한의원,한의원,한의원,044-868-1375,044-868-1375 대표번호,36.4950124,127.2485612,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월수금 09:30 ~ 19:00  화목 09:30 ~ 20:30  토 09:30 ~ 14:00,휴무일 공휴일,세종특별자치시 다정중앙로 51 더다정빌딩 2층 203호 (우)30124,9:30,19:00,정보 없음,정보 없음,9:30,20:30,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,20:30,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
경희한의원,한의원,한의원,044-862-1025,044-862-1025 대표번호,36.5153042,127.2584593,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 침구과",진료시간  월 ~ 수금 09:30 ~ 18:30  토 09:30 ~ 14:00  월 ~ 수금 휴게시간 13:00 ~ 14:00,휴무일 목일요일 공휴일,세종특별자치시 한누리대로 583 도담센트럴프라자 4층 403호 (우)30098,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:30,13:00,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
